전기차 충전소 설치현황 ( 20230525 현재 ),,,,,
"시도 : 부산광역시, 시군구 : ALL",,,,,
시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종
부산광역시,덕포경동메르빌 아파트,부산광역시 사상구 덕포동 793,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,르네시떼,부산광역시 사상구 괘법동 529-1,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,모라1동행정복지센터 부설주차장,부산광역시 사상구 모라로93,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,모라백양그린,부산광역시 사상구 모라동 552,0 ,3 ,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV"
부산광역시,모라벽산 아파트,부산광역시 사상구 모라동 203,1 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,모라삼정그린코아,부산광역시 사상구 모라동 334,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,모라중학교 지하 공영주차장,부산광역시 사상구 백양대로936,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,부산구치소,부산광역시 사상구 주례동 666,1 ,0 ,"SM3 Z.E,테슬라"
부산광역시,북부산지사,부산광역시 사상구 덕포동 89,0 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,북부산지사(공용),부산광역시 사상구 덕포동 89,2 ,1 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,사상구청 부설주차장,부산광역시 사상구 감전동 138-8,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,신주례엘지2단지 아파트,부산광역시 사상구 주례동 10-4,1 ,3 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,엄궁대림 아파트,부산광역시 사상구 엄궁동 669-2,1 ,0 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
부산광역시,엄궁쌍용스윗닷홈 아파트,부산광역시 사상구 엄궁동 680-2,1 ,2 ,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
